Experiment with 100 features and 35 nodes. N = 1000
========== Multiview with Union ==========
Epoch: 01, Loss: 0.6154, Train: 72.38%, Test: 74.50%
Epoch: 02, Loss: 0.5425, Train: 92.25%, Test: 95.50%
Epoch: 03, Loss: 0.4799, Train: 97.38%, Test: 97.50%
Epoch: 04, Loss: 0.4738, Train: 98.88%, Test: 99.50%
Epoch: 05, Loss: 0.5789, Train: 99.62%, Test: 100.00%
Epoch: 06, Loss: 0.4462, Train: 99.88%, Test: 100.00%
Epoch: 07, Loss: 0.3858, Train: 100.00%, Test: 100.00%
Epoch: 08, Loss: 0.4060, Train: 100.00%, Test: 100.00%
Epoch: 09, Loss: 0.3965, Train: 100.00%, Test: 100.00%
Epoch: 10, Loss: 0.3934, Train: 100.00%, Test: 100.00%
Epoch: 11, Loss: 0.3709, Train: 100.00%, Test: 100.00%
Epoch: 12, Loss: 0.4069, Train: 100.00%, Test: 100.00%
Epoch: 13, Loss: 0.3533, Train: 100.00%, Test: 100.00%
Epoch: 14, Loss: 0.3559, Train: 100.00%, Test: 100.00%
Epoch: 15, Loss: 0.3509, Train: 100.00%, Test: 100.00%
Epoch: 16, Loss: 0.3467, Train: 100.00%, Test: 100.00%
Epoch: 17, Loss: 0.3495, Train: 100.00%, Test: 100.00%
Epoch: 18, Loss: 0.3934, Train: 100.00%, Test: 100.00%
Epoch: 19, Loss: 0.4598, Train: 100.00%, Test: 100.00%
Epoch: 20, Loss: 0.5223, Train: 100.00%, Test: 100.00%
Epoch: 21, Loss: 0.3344, Train: 100.00%, Test: 100.00%
Epoch: 22, Loss: 0.3397, Train: 100.00%, Test: 100.00%
Epoch: 23, Loss: 0.3318, Train: 100.00%, Test: 100.00%
Epoch: 24, Loss: 0.3353, Train: 100.00%, Test: 100.00%
Epoch: 25, Loss: 0.4799, Train: 100.00%, Test: 100.00%
Epoch: 26, Loss: 0.3344, Train: 100.00%, Test: 100.00%
Epoch: 27, Loss: 0.3565, Train: 100.00%, Test: 100.00%
Epoch: 28, Loss: 0.3939, Train: 100.00%, Test: 100.00%
Epoch: 29, Loss: 0.3887, Train: 100.00%, Test: 100.00%
Epoch: 30, Loss: 0.3310, Train: 100.00%, Test: 100.00%

========== Non-Graph Based Methods with PCA ==========
Accuracy for LDA is 0.44
Accuracy for GNB is 0.44 

========== Non-Graph Based Methods without PCA ==========
(800,)
(200,)
Accuracy for LDA is 0.445
Accuracy for GNB is 0.445 


========== GNN with Parent Graph ==========
Epoch: 01, Loss: 0.7041, Train: 51.88%, Test: 44.50%
Epoch: 02, Loss: 0.6615, Train: 68.62%, Test: 63.00%
Epoch: 03, Loss: 0.6043, Train: 77.88%, Test: 72.50%
Epoch: 04, Loss: 0.6132, Train: 87.62%, Test: 86.50%
Epoch: 05, Loss: 0.6330, Train: 92.62%, Test: 91.00%
Epoch: 06, Loss: 0.5664, Train: 94.50%, Test: 94.00%
Epoch: 07, Loss: 0.5147, Train: 98.38%, Test: 97.00%
