Epoch: 01, Loss: 0.6878, Train: 52.62%, Test: 55.00%
Epoch: 02, Loss: 0.6878, Train: 55.62%, Test: 55.00%
Epoch: 03, Loss: 0.7208, Train: 57.25%, Test: 56.00%
Epoch: 04, Loss: 0.6644, Train: 57.62%, Test: 54.00%
Epoch: 05, Loss: 0.6938, Train: 60.50%, Test: 51.50%
Epoch: 06, Loss: 0.6812, Train: 63.75%, Test: 54.50%
Epoch: 07, Loss: 0.6949, Train: 65.38%, Test: 53.50%
Epoch: 08, Loss: 0.6501, Train: 68.12%, Test: 54.00%
Epoch: 09, Loss: 0.6403, Train: 69.87%, Test: 54.00%
Epoch: 10, Loss: 0.6128, Train: 72.50%, Test: 54.00%
Epoch: 11, Loss: 0.6512, Train: 74.00%, Test: 53.50%
Epoch: 12, Loss: 0.6578, Train: 77.00%, Test: 56.00%
Epoch: 13, Loss: 0.6301, Train: 79.50%, Test: 57.00%
Epoch: 14, Loss: 0.5988, Train: 81.25%, Test: 56.50%
Epoch: 15, Loss: 0.5969, Train: 81.75%, Test: 54.50%
Epoch: 16, Loss: 0.6407, Train: 85.50%, Test: 53.00%
Epoch: 17, Loss: 0.6399, Train: 86.38%, Test: 54.50%
Epoch: 18, Loss: 0.6395, Train: 88.00%, Test: 56.00%
Epoch: 19, Loss: 0.6117, Train: 89.00%, Test: 54.50%
Epoch: 20, Loss: 0.5649, Train: 90.00%, Test: 56.00%
Epoch: 21, Loss: 0.5872, Train: 90.88%, Test: 54.00%
Epoch: 22, Loss: 0.5143, Train: 91.88%, Test: 53.50%
Epoch: 23, Loss: 0.5628, Train: 92.50%, Test: 55.50%
Epoch: 24, Loss: 0.5903, Train: 92.88%, Test: 54.50%
Epoch: 25, Loss: 0.5574, Train: 94.75%, Test: 55.50%
Epoch: 26, Loss: 0.6211, Train: 96.00%, Test: 57.00%
Epoch: 27, Loss: 0.5024, Train: 95.75%, Test: 53.50%
Epoch: 28, Loss: 0.5689, Train: 97.00%, Test: 56.50%
Epoch: 29, Loss: 0.4991, Train: 96.75%, Test: 54.50%
Epoch: 30, Loss: 0.5468, Train: 97.62%, Test: 56.00%
========== Non-Graph Based Methods ==========
Accuracy for QDA is 0.495
Accuracy for GNB is 0.495
